id,text,label,cot
eemr899__aggregate,Probably stop school shootings hehe,"['joy', 'optimism']","The author is expressing their amusement in their response, but also is optimistic school shootings are going to stop."
eeobr6j__aggregate,If this data were exportable in CSV format. I would love this website long time. (Github link for feature contributions maybe?),['joy'],The author is expressing their excitement for a product.
eeqgtl9__aggregate,Replace that friend with a whole pile of desillusioned friends and you might as well @me,['optimism'],The author is expressing their optimism for the future actions of another.
eeubxt1__aggregate,Whaaat! They are not actually trained to do this lol,[],The author is simply pointing out a fact about the training of a specific proffesion.
eevkair__aggregate,Because they want to make money.,[],The author is objectively responding to a question.
ef3bvby__aggregate,My guys about to laser a 5 year old cause he didn’t give that little girl his lunchable,['optimism'],The author is expressing their optimism for the future actions of another.
ef4xkr4__aggregate,"Well, you know what happened the first time he came down...",['surprise'],The author is expressing their surprise it came down to the same situation as in the past.
ef53hly__aggregate,"Haha not in those words, but I did say it was dramatic and unreasonable.","['joy', 'anger']","The author is amused by a previous response. However, they are angry true intentions did not come through."
ef5k3gh__aggregate,These 2 are repulsive little kids,['admiration'],"The author is approving and admiring of the vilification of two other people, for which they express agreement."
ef7qmi7__aggregate,I still love figment!,['joy'],"The author expresses love, and therefore joy."
ef7zuuk__aggregate,"Oh lord, we're about to have a hell of an offseason","['fear', 'sadness']","The author is expressing anxiety and sadness for upcoming events, betrayed by ""Oh lord"", which is only used when expressing negative sentiment."
ef91jzy__aggregate,"Can anyone here show where in the Quran it states ""not to delay your salah for anything"" ?",['surprise'],"The author is expressing confusion, and therefore surprise, at the lack of knowledge of others."
efa1xx2__aggregate,Haha gutted.,['joy'],The authors is amused by a joke.
efbwehi__aggregate,Plot twist: [NAME] is [NAME] estranged father,[],The author is stating a fact.
efd3s59__aggregate,"If that were my car the spare would be flat too, so at least you've got that going for ya.",['optimism'],The author is expressing their optimism about the situation of another.
efdt2uc__aggregate,"you have zero evidence that anything in this story is fabricated. your blind cop hatred just really, really wants you to believe that.",['anger'],The author is expressing anger at the baseless bias of another person.
efe5t30__aggregate,MmMm I love me some microplastics.,['joy'],The authors is expressing their opinion on microplastics ironically with an amusing joke.
efebsxb__aggregate,These were the naughty children! HO HO HO!,[],"The author is impersonating Santa Claus, but not necessarily expressing any emotions."
efehmwp__aggregate,"So just tell me I dont want to go look, was the video cut/edited? Or is it RAW? I MUST KNOW!",['surprise'],"The author is curious and surprised at the state of the video, because they are asking for further details."
effgn9g__aggregate,What a career for TBA. Started on the wing for Qld in 2002 and now playing at prop for the Indigenous side 17 years later.,['admiration'],The author is admiring the career of the mentioned individual.
